% Device,11B100023,,,,,,
% File name,11B100023_20230613_190329,,,,,,
% Cast time (UTC),6/13/2023 19:03,,,,,,
% Cast time (local),6/13/2023 15:03,,,,,,
% Sample type,Cast,,,,,,
% Cast data,Processed,,,,,,
% Location source,Manual,,,,,,
% Default latitude,32,,,,,,
% Default altitude,0,,,,,,
% Start latitude,,,,,,,
% Start longitude,,,,,,,
% Start altitude,,,,,,,
% Start GPS horizontal error(Meter),,,,,,,
% Start GPS vertical error(Meter),,,,,,,
% Start GPS number of satellites,,,,,,,
% End latitude,,,,,,,
% End longitude,,,,,,,
% End altitude,,,,,,,
% End GPS horizontal error(Meter),,,,,,,
% End GPS vertical error(Meter),,,,,,,
% End GPS number of satellites,,,,,,,
% Cast duration (Seconds),42.4,,,,,,
% Samples per second,5,,,,,,
% Electronics calibration date,0001-01-01,,,,,,
% Conductivity calibration date,2/25/2011,,,,,,
% Temperature calibration date,2/25/2011,,,,,,
% Pressure calibration date,2/25/2011,,,,,,
% ,,,,,,,
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.150208503,19.98884573,39377.26946,43763.36937,28.11726931,1513.766412,1019.525515
0.45,0.450560844,19.88703936,39971.92841,44525.02213,28.65893301,1514.086678,1019.964436
0.75,0.750782458,19.77208181,40562.09196,45298.42072,29.20982393,1514.380311,1020.413887
1.05,1.050885799,19.66236868,40999.68426,45899.58557,29.63817245,1514.552224,1020.768919
1.35,1.350920609,19.64082345,41151.6786,46091.97974,29.7757882,1514.649789,1020.880443
1.65,1.650929744,19.61245652,41216.54115,46193.98299,29.84816843,1514.655072,1020.944029
1.95,1.950929062,19.60722788,41213.64512,46196.15148,29.84945962,1514.646648,1020.947652
2.25,2.250926579,19.59781801,41214.11591,46206.42641,29.85644583,1514.632699,1020.956665
2.55,2.550921305,19.60763249,41241.66658,46227.14127,29.87159563,1514.682538,1020.967046
2.804793398,2.805706578,19.64731778,41322.56129,46276.64476,29.90849353,1514.840776,1020.986242
